transaction_id,timestamp,user_id,account_type,category,amount,currency,payment_method,device_type,risk_score,is_fraud
TXN_100000,2025-08-26 08:02:13.821309,USR_5559,Checking,Electronics,22.92,USD,Debit Card,Desktop,36.51,0
TXN_100001,2025-08-26 08:24:13.821309,USR_6322,Checking,Dining,17.89,USD,Debit Card,POS Terminal,16.89,0
TXN_100002,2025-08-26 09:53:13.821309,USR_2845,Checking,Online Transfer,12.42,USD,Debit Card,ATM,6.68,0
TXN_100003,2025-08-26 10:26:13.821309,USR_9984,Savings,Groceries,28.7,USD,Credit Card,ATM,73.64,1
TXN_100004,2025-08-26 11:16:13.821309,USR_5988,Savings,Travel,9.27,USD,Debit Card,Desktop,42.34,0
TXN_100005,2025-08-26 11:22:13.821309,USR_2096,Savings,Utilities,148.7,USD,Debit Card,Desktop,25.89,0
TXN_100006,2025-08-26 12:41:13.821309,USR_3303,Checking,Entertainment,5.22,USD,Credit Card,Mobile,38.24,0
TXN_100007,2025-08-26 13:50:13.821309,USR_9046,Savings,Utilities,13.17,USD,Debit Card,Mobile,33.67,0
TXN_100008,2025-08-26 14:17:13.821309,USR_5852,Savings,Utilities,70.46,USD,Credit Card,ATM,57.57,0
TXN_100009,2025-08-26 14:31:13.821309,USR_8970,Checking,Groceries,17.49,USD,Credit Card,Desktop,19.97,0
TXN_100010,2025-08-26 16:22:13.821309,USR_6378,Credit Card,Dining,56.78,USD,UPI,Mobile,36.74,0
TXN_100011,2025-08-26 17:06:13.821309,USR_8366,Checking,Entertainment,179.27,USD,Credit Card,Mobile,27.38,0
TXN_100012,2025-08-26 18:41:13.821309,USR_4445,Checking,Groceries,67.79,USD,Debit Card,Mobile,28.52,0
TXN_100013,2025-08-26 19:54:13.821309,USR_7581,Checking,Groceries,7.23,USD,Bank Transfer,Desktop,34.5,0
TXN_100014,2025-08-26 21:06:13.821309,USR_4013,Checking,Entertainment,7.62,USD,Credit Card,POS Terminal,13.54,0
TXN_100015,2025-08-26 21:08:13.821309,USR_2416,Checking,Utilities,22.06,USD,Debit Card,Mobile,18.95,0
TXN_100016,2025-08-26 22:29:13.821309,USR_6805,Checking,Dining,44.14,USD,Debit Card,Mobile,17.99,0
TXN_100017,2025-08-26 22:48:13.821309,USR_4825,Savings,Online Transfer,102.18,USD,Debit Card,Desktop,60.13,0
TXN_100018,2025-08-26 23:04:13.821309,USR_4307,Savings,Entertainment,11.43,USD,Debit Card,Mobile,23.04,0
TXN_100019,2025-08-26 23:31:13.821309,USR_6984,Savings,Online Transfer,15.9,USD,Debit Card,Mobile,6.19,0
TXN_100020,2025-08-27 01:16:13.821309,USR_2191,Checking,Online Transfer,20.58,USD,Credit Card,Mobile,16.6,0
TXN_100021,2025-08-27 01:18:13.821309,USR_9758,Credit Card,Dining,20.13,USD,Credit Card,Mobile,19.28,0
TXN_100022,2025-08-27 01:29:13.821309,USR_1827,Savings,Entertainment,140.5,USD,UPI,Desktop,46.54,0
TXN_100023,2025-08-27 02:02:13.821309,USR_2725,Savings,Utilities,24.18,USD,Credit Card,ATM,20.38,0
TXN_100024,2025-08-27 02:39:13.821309,USR_5348,Credit Card,Entertainment,32.08,USD,UPI,Mobile,14.53,0
TXN_100025,2025-08-27 04:39:13.821309,USR_5065,Checking,Entertainment,73.89,USD,UPI,Desktop,10.05,0
TXN_100026,2025-08-27 06:46:13.821309,USR_7182,Checking,Groceries,156.05,USD,Credit Card,Mobile,16.69,0
TXN_100027,2025-08-27 08:15:13.821309,USR_2781,Credit Card,Groceries,26.08,USD,Credit Card,Desktop,60.02,0
TXN_100028,2025-08-27 09:02:13.821309,USR_1105,Checking,Electronics,108.32,USD,Credit Card,Desktop,30.18,0
TXN_100029,2025-08-27 09:26:13.821309,USR_7220,Checking,Entertainment,202.46,USD,Debit Card,Mobile,7.84,0
TXN_100030,2025-08-27 10:04:13.821309,USR_2395,Savings,Entertainment,24.01,USD,UPI,Desktop,10.93,0
TXN_100031,2025-08-27 10:47:13.821309,USR_3432,Savings,Dining,14.59,USD,Credit Card,Mobile,27.04,0
